region;estado;municipio;parroquia_actual;ciudad;urbana;zona;codigo_postal
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Nuevo;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Parate Bueno;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Peña Tovar;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Pueblo Nuevo;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Sagrado Corazón de Jesús;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio San José;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio San José parte Baja;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio San Onofre;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Santa Ana I;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Santa Ana II;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Santa Eduvigis;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Santa Elena;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Subida La Pedrera;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Terepaima;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Terrazas de Carapita;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Terrazas del Manguito;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Vidal López;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Vilma Coromoto;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Barrio Vuelta El Fraile;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Centro de Antímano;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector 27 de Noviembre;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector Algodonal;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector Carapita;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector Discomoda;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector El Enano;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector El Esfuerzo;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector El Higuerón;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector El Tanque;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector Guzmán Blanco;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector I Mamera;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector II Mamera;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector III Mamera;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector IV Mamera;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector Juan Pablo II;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector Kilómetro 2;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector Kilómetro 3;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector Kilómetro 4;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector Kilómetro 5;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector Kilómetro 6;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector La Hacienda de Montalbán;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector La Sabana;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector La Yaguara;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector Las Clavelinas;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector Las Cocuizas;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector Las Torres;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector Libertador;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector Los Jabillos;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector Paulina;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector Punta Brava;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector Rómulo Gallegos;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector V Mamera;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector VI Mamera;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector VII Mamera;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Sector VIII Mamera;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Universidad Católica Andrés Bello;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Urbanización Antímano;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Urbanización Industrial Carapa;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Urbanización Industrial La Yaguara;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Urbanización La Yaguara;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Antímano;Caracas;si;Urbanización Mamera;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Caricuao;Caracas;si;Oficina Postal Telegráfica Caricuao;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Caricuao;Caracas;si;Barrio 03 de Mayo;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Caricuao;Caracas;si;Barrio 05 de Julio;1000
CAPITAL;DISTRITO CAPITAL;Libertador;Caricuao;Caracas;si;Barrio 07 de Septiembre;1000
